City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
235,dzilam gonzalez,0,MX,1519030836,79,21.28,-88.93,71.07,5.21
236,ahipara,68,NZ,1519030837,88,-35.17,173.16,72.2,13.27
237,kuusamo,0,FI,1519028400,84,65.96,29.19,3.2,4.7
238,alofi,80,NU,1519030838,100,-19.06,-169.92,80.97,18.63
239,dustlik,64,UZ,1519030838,100,40.53,68.03,35.57,4.21
240,hami,0,CN,1519030838,46,42.84,93.51,37.82,3.53
241,ippy,8,CF,1519030839,91,6.26,21.2,81.42,4.65
242,sinnamary,92,GF,1519030839,100,5.38,-52.96,76.79,13.6
243,black diamond,90,CA,1519027200,83,50.69,-114.23,-2.21,5.82
244,salalah,20,OM,1519026600,61,17.01,54.1,78.8,10.29
245,ouesso,56,CG,1519030840,81,1.61,16.05,81.83,2.98
246,keuruu,20,FI,1519028400,92,62.26,24.71,6.8,3.36
247,kavieng,0,PG,1519030841,100,-2.57,150.8,84.12,15.61
248,shahpur,0,IN,1519030842,43,22.19,77.91,85.83,4.21
249,morbach,0,DE,1519028400,80,49.52,10.62,30.2,4.7
250,dunedin,88,NZ,1519030842,79,-45.87,170.5,52.08,2.08
251,promyshlennyy,56,RU,1519030843,80,67.58,63.92,-4.62,6.55
252,primero de enero,20,CU,1519026600,78,21.94,-78.43,75.2,12.75
253,mogadishu,40,SO,1519027200,74,2.04,45.34,84.2,11.41
254,itarema,88,BR,1519030844,100,-2.92,-39.92,72.38,3.76
255,guerrero negro,92,MX,1519030844,93,27.97,-114.04,60.27,9.8
256,puerto leguizamo,0,CO,1519030845,97,-0.19,-74.78,72.15,2.08
257,black river,20,JM,1519027200,83,18.03,-77.85,75.2,3.36
258,jonkoping,90,SE,1519030200,100,57.78,14.16,30.2,4.7
259,ewa beach,90,US,1519029060,100,21.32,-158.01,69.8,10.29
260,evensk,12,RU,1519030847,100,61.92,159.24,13.88,8.12
261,berlevag,20,NO,1519026600,79,70.86,29.09,21.2,9.17
262,acapulco,40,MX,1519026300,83,16.86,-99.88,75.2,2.24
263,mehamn,20,NO,1519026600,79,71.03,27.85,26.6,9.17
264,souillac,90,MU,1519027200,74,-20.52,57.52,86.0,8.05
265,nemuro,20,JP,1519027200,53,43.32,145.57,21.2,4.7
266,saint-augustin,90,CA,1519027200,85,45.63,-73.98,30.2,2.24
267,esso,48,RU,1519030850,86,55.93,158.7,-0.53,2.42
268,samarinda,68,ID,1519030850,83,-0.5,117.14,82.1,2.75
269,novyy nekouz,80,RU,1519030850,100,57.91,38.06,21.8,4.54
270,hamilton,90,BM,1519026900,72,32.3,-64.78,64.4,12.75
271,dalvik,75,IS,1519027500,65,65.97,-18.53,44.6,24.16
272,carinhanha,48,BR,1519030852,87,-14.3,-43.77,71.25,10.69
273,starkville,1,US,1519030560,100,33.45,-88.82,55.4,4.7
274,amuntai,88,ID,1519030852,68,-2.42,115.25,85.43,2.64
275,fortuna,90,US,1519029300,100,40.6,-124.16,35.6,3.36
276,lake charles,90,US,1519029300,94,30.23,-93.22,68.0,8.05
277,san pedro,64,AR,1519030853,72,-33.68,-59.66,76.2,10.69
278,la ronge,5,CA,1519027200,74,55.1,-105.3,-22.01,4.7
279,southbridge,100,NZ,1519029000,93,-43.81,172.25,59.0,4.7
280,guarapari,20,BR,1519027200,83,-20.67,-40.5,77.0,5.82
281,qaqortoq,36,GL,1519026600,53,60.72,-46.03,26.6,14.99
282,ilula,0,TZ,1519030857,39,-7.68,36.04,82.64,3.53
283,north bend,90,US,1519029120,93,43.41,-124.22,35.6,8.05
284,grindavik,75,IS,1519029000,80,63.84,-22.43,39.2,17.22
285,vostok,48,RU,1519030858,61,46.45,135.83,6.32,5.21
286,buala,32,SB,1519030858,85,-8.15,159.59,82.46,9.01
287,santa marta,8,CO,1519030615,98,11.24,-74.21,77.24,34.29
288,tabuk,0,SA,1519027200,44,28.38,36.58,57.2,4.7
289,at-bashi,0,KG,1519030859,73,41.17,75.81,24.68,0.96
290,pilar,56,PH,1519030860,68,17.42,120.6,80.93,4.65
291,quelimane,40,MZ,1519027200,66,-17.88,36.89,86.0,3.36
292,hasaki,75,JP,1519027200,48,35.73,140.83,44.6,5.82
293,ponta delgada,75,PT,1519029000,82,37.73,-25.67,55.4,3.36
294,meulaboh,56,ID,1519030862,100,4.14,96.13,79.98,1.52
295,tsuruoka,75,JP,1519027200,50,38.61,139.81,33.8,10.29
296,saint-philippe,92,RE,1519029000,70,-21.36,55.77,86.0,6.93
297,port macquarie,40,AU,1519027200,69,-31.43,152.91,75.2,10.29
298,batagay-alyta,56,RU,1519030864,64,67.8,130.41,-23.66,2.98
299,mponela,20,MW,1519027200,65,-13.53,33.74,77.0,5.82
300,corvallis,90,US,1519029300,96,44.56,-123.26,33.8,5.82
301,padang,8,ID,1519030866,100,-0.92,100.36,82.37,4.76
302,ola,20,RU,1519027200,55,59.58,151.3,6.8,4.47
303,thai nguyen,75,VN,1519027200,73,21.59,105.84,75.2,9.17
304,ankang,48,CN,1519030868,79,32.73,108.99,44.21,2.42
